actor_slug,type,title,url,captured_at,note
maskinentreprenor-kay-jeiskelid-bykle,map,Google Maps,https://maps.google.com/?cid=4806310192775973580&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
brokke-alpinsenter-rysstad,website,Offisiell nettside,http://www.brokke.com/,2026-04-15,
brokke-alpinsenter-rysstad,map,Google Maps,https://maps.google.com/?cid=550657420481369140&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
kirkens-bymisjon-skattkammeret-arendal-arendal,website,Offisiell nettside,https://kirkensbymisjon.no/skattkammeret/arendal/,2026-04-15,
kirkens-bymisjon-skattkammeret-arendal-arendal,map,Google Maps,https://maps.google.com/?cid=14421422341821363390&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
bua-lillesand-lillesand,website,Offisiell nettside,https://www.bua.io/,2026-04-15,
bua-lillesand-lillesand,map,Google Maps,https://maps.google.com/?cid=18026504061276034926&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
bua-groos-grimstad,map,Google Maps,https://maps.google.com/?cid=17602521026179649211&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
tvedestrand-frivilligsentral-tvedestrand,website,Offisiell nettside,https://tvedestrand.frivilligsentral.no/,2026-04-15,
tvedestrand-frivilligsentral-tvedestrand,map,Google Maps,https://maps.google.com/?cid=11141740316932923865&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
bua-bygland-bygland,website,Offisiell nettside,https://www.bua.no/utlansordninger/bua-bygland,2026-04-15,
bua-bygland-bygland,map,Google Maps,https://maps.google.com/?cid=14015749048343300928&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
